Country,Case-Fatality,Human Development Index (HDI),Population median age (years),Adult mortality rate,Life expectancy at birth (years),Mortality rate attributed to exposure to unsafe WASH services,Population proportion over 60 (%),Current health expenditure (CHE) per capita in US$,UHC index of service coverage (SCI),Cases per 1M population,Urban population (% of total population),diabetes_prevalence,hospital_beds_per_100k,cvd_death_rate,GDP per capita,Tests/ 1M pop
US,0.059000000000000004,0.92,37.4,114.0,78.5,0.2,195.6,10246.1,84.0,3763.0,82.256,10.79,2.77,151.089,59928.0,23522.0
United Kingdom,0.15,0.92,40.2,67.0,81.4,0.2,45.0,3858.7,87.0,3027.0,83.398,4.28,2.54,122.137,44920.0,20385.0
Italy,0.138,0.883,44.3,54.0,82.8,0.1,49.7,2840.1,82.0,3560.0,70.438,4.78,3.18,113.15100000000001,40924.0,38221.0
France,0.15,0.8909999999999999,40.6,71.0,82.9,0.3,47.4,4379.7,78.0,1982.0,80.444,4.77,5.98,86.06,44033.0,16856.0
Belgium,0.159,0.919,41.6,72.0,81.2,0.3,8.0,4507.4,84.0,4403.0,98.001,4.29,5.64,114.898,49367.0,40914.0
Brazil,0.069,0.7609999999999999,30.3,143.0,75.1,1.0,73.4,928.8,79.0,550.0,86.569,8.11,2.2,177.96099999999998,15553.0,1597.0
Germany,0.042,0.9390000000000001,45.5,69.0,81.0,0.6,65.4,5033.5,83.0,2014.0,77.312,8.31,8.0,156.139,52556.0,30400.0
Iran,0.063,0.797,28.5,80.0,75.7,1.0,19.7,475.5,72.0,1218.0,74.898,9.59,1.5,270.308,20885.0,6325.0
Netherlands,0.126,0.934,41.8,59.0,81.6,0.2,12.0,4911.4,86.0,2366.0,91.49,5.29,3.32,109.361,54422.0,14198.0
China,0.055,0.758,37.4,80.0,76.4,0.6,646.0,440.8,79.0,59.0,59.152,9.74,4.34,261.899,16842.0,1520.5494441864648
Canada,0.066,0.922,40.1,63.0,82.8,0.4,24.0,4754.9,89.0,1643.0,81.411,7.37,2.5,105.59899999999999,46510.0,24921.0
Turkey,0.027000000000000003,0.807,29.4,104.0,76.4,0.3,26.9,444.7,74.0,1557.0,75.143,12.13,2.81,171.285,28002.0,14640.0
Sweden,0.12300000000000001,0.937,41.0,52.0,82.4,0.2,7.2,5904.6,86.0,2314.0,87.431,4.79,2.22,133.982,51405.0,14704.0
Mexico,0.096,0.767,27.0,127.0,76.6,1.1,36.2,494.7,76.0,206.0,80.156,13.06,1.38,152.783,18656.0,776.0
Switzerland,0.06,0.946,42.0,49.0,83.3,0.1,5.8,9956.3,83.0,3488.0,73.797,5.59,4.53,99.73899999999999,66307.0,33550.0
India,0.034,0.647,26.4,178.0,68.8,18.6,349.9,69.3,55.0,36.0,34.03,10.39,0.53,282.28,7166.0,925.0
Ecuador,0.049,0.758,26.1,114.0,76.5,0.6,4.8,518.0,77.0,1824.0,63.821000000000005,5.55,1.5,140.44799999999998,11612.0,4544.0
Russia,0.009000000000000001,0.8240000000000001,38.3,203.0,71.9,0.1,85.6,585.9,75.0,1131.0,74.433,6.18,8.05,431.29699999999997,25763.0,31752.0
Peru,0.027999999999999997,0.759,26.5,124.0,75.9,1.3,9.3,332.6,77.0,1593.0,77.907,5.95,1.6,85.755,13463.0,12331.0
Portugal,0.042,0.85,42.2,76.0,81.5,0.2,8.2,1908.0,82.0,2501.0,65.211,9.85,3.39,127.84200000000001,32554.0,46116.0
Indonesia,0.07200000000000001,0.7070000000000001,27.8,176.0,69.3,7.1,62.9,115.0,57.0,47.0,55.325,6.32,1.04,342.86400000000003,12310.0,444.0
Romania,0.061,0.816,39.4,135.0,75.2,0.4,13.9,555.1,74.0,727.0,53.998000000000005,9.74,6.892,370.94599999999997,26660.0,11287.0
Poland,0.05,0.872,38.8,111.0,77.8,0.1,25.7,906.8,75.0,382.0,60.058,5.91,6.62,227.331,29924.0,10846.0
Austria,0.039,0.914,42.7,62.0,81.9,0.1,6.2,4939.9,79.0,1751.0,58.297,6.35,7.37,145.183,53879.0,32450.0
Japan,0.036000000000000004,0.915,45.9,51.0,84.2,0.2,122.0,4169.0,83.0,122.0,91.616,5.72,13.05,79.37,42067.0,1473.0
